description,length,rate
83 przyjdzie czas i na ciebie ze sie nawrocisz,,-1
czegoś nie rozumiem.  mianowała do spółek na lata dobrze  chce efektów źle... to jak żyć? ,,-1
dałoby radę jeszcze jakąś ustawę klepnąć w kończącym sie roku. noc jeszcze młoda ,,-1
ale po co? na te wasze ostatnie 2 miesiące rządzenia?,,-1
przecież nie ma żadnych zasiłków dla matek więc nawet nie ma co wykreślać platformo obesrana.,,-1
ach te twarde dyski wszystko pamiętają :)       ,,-1
jesteś mięka faja nawet twoja była to przyznała :))) ,,-1
ja się oburzylem. ale na głupotę  i reszty intelektualnych gigantów i ludzi “uczciwych“…  …,,-1
"jezu zrozumcie ich, telewizja, tysiac osob ogladajacych ten program, no halo przeciez wiadome jest ze w takich momentach wystepuje stres zastanowcie sie zanim cos napiszecie  polowa z was pewnie by sie nawet nie odwazyla tam wyjsc",,-1
Nie zapominajmy słów Deynn  Zmieniłam się diametralnieJedno jest pewne  nie zmieniłam się wcale ,,-1
Policjanka zawieszona Śmieszne Wyrzucić z policji Ten policjant powinien ten babci za karę codziennie nosić zakupy do domu 
 chcieliśmy wyróżnić najważniejsze momenty nagrania z monitoringu
wykopac ciapactwo z kraju nie sa usiebie i z tym trzeba walczyc sa wa polsce i maja byc na naszych warunkach jak sie nie podoba to do piachu,,-1
"Biblia nie jest księgą naukową i historycznym zapisem faktów Cel i sens Biblii nie polega na
IT s prank bro",,-1
Karpa    Fajne te glonojady,,-1
Kom  20 zł
"11 mln, masti pewnie już pływa w hajsie",,-1
Kto po raz kolejny przyszedł poczytać kometarze daje lajka XD,,-1
"Tak, tak, nadal czytacie komentarze   ʖ ",,-1
Czy mi tylko jest niedobrze,,-1
Kto ukoić uszy po czuuxie _,,-1
kocham to piosenke 3,,-1
3 stanie w przysznicu i plókanie sobie oczu",,-1
"Dajcie na luz, to tylko FUN ",,-1
"mięsny jeż,, mięsny jeż ty go zjesz, ty go zjesz",,-1
Tego nie da sie naprawić ludzie uciekajcie z polski xd,,-1
rozjebana osoba to wymyslila,,-1
a sowy to podobno znak mondrości  NIE   ʖ ,,-1
I że niby co tu jest lipą,,-1
"Teraz już wiadomo czemu Magik popełnił samobójstwo Miał wizję, a w niej to coś",,-1
ta biedna sowa Myślała że będzie sławną a po usłyszeniu 1 raz ten piosenki dostałA raka ucha a po nagraniach zdechł,,-1
Wpadłem poczytać komentarze V,,-1
Pokaż, pokaż sowę mi 4x

Co wy do niej macie przecierz każdy facety ogląda porno to to jest coś dla was,,-1
Idź pan w chuj koniec internetu jest mroczny ,,-1
"Jak niemożliwe przecież po tym chłopak na pewno cię     rzuci 
Internet Ci tego nigdy nie wybaczy,,-1
już to widze jak sexmasterka ma dzieci i ją znajdą na you tube,,-1
omg 387tys dyslajkow,,-1
Danie dupy D",,-1
wyślemy ją kiedyś na Marsa,,-1
prosze wypisać ją z listy ministrantów,,-1
Na dole konewka
A myślałem że to ja jestem Januszem,,-1
Takiego gówna to jeszcze nie widziałem,,-1
By Tobie pokazała sowę
Już mam to cały na pamięć chociaż mam 12 lat,,-1
a mogłem zostać na antarktydzie,,-1
Ty nie zasługujesz na ciastka,,-1
masz tydzień na opuszczenie kraju,,-1
"Parapaparapa Nara, nara",,-1
JAK WYŁĄCZYĆ CAPSLOCKA,,-1
niech to będzie pierwszy i ostatni teledysk sexmasterki albo niech to yt usunie ,,-1
Dla tego jaram zioło żeby zapomnieć o takich rzeczach,,-1
ja pierdole czemu ja się urodziłem,,-1
poco mój dziadek walczył w powstaniu,,-1
fajne bo można się pośmiać,,-1
Zagraj w niebieskiego wieloryba,,-1
czy ta piosenka to totalne dno i chujnia z patola w jednym 
Batmanie błagam wypuść mnie a obiecuje znajde ją i przyprowadze do celi więziennej,,-1
"163 tys w dół i 38 tys w górę  
To będzie bobowa trasa koncertowa będzie o niej głośno ,,-1
"jezus maria, biedna płomykówka _",,-1
Czemu komentarze usuwasz,,-1
TEN KLIP SMAKUJE JAK GÓWNO Besos,,-1
czy tylko ja po tym filmie nie mam ochoty ogladac cokolwiek na yt,,-1
"teraz żałuję, że to Marzence rozpierdoliłem ręke",,-1
Nawet ja nie jestem takim plastikiem,,-1
"Wiem że źle zrobiłem stając na to krzesło Ale chce tylko żeby ,,on,, przestał stawać gdy tylko włącze moją ukochaną piosenke POKA POKA SOWE",,-1
"Zmiana kierunku, wystrzelić rakiety",,-1
Jestem za eutanazją i ponownym podbiciem Polski,,-1
"o Boże widzisz i nie grzmisz  ładna jest, to niestety muszę przyznać ale do puki sie nie odezwie zaśpiewa, a ten teledysk wykonanie i ogólnie całość to dno i wodorosty O",,-1
Chyba umarłam w środku,,-1
Sorry Aniela, bardzo Cię lubię, jesteś mega pozytywną kobieta z dużym dystansem do siebie Ale sie zawiodłam 
żeby było w Polsce lepiej to trzeba kurwa samemu kurwa podnosić papierki kurwa z chodnika,,-1
Z tym krajem jest coraz gorzej ,,-1
zamiast zareagować poważniej to nagrywa,,-1
ale Donald tramp to jest za pszeproszeniem Hj,,-1
Powinna tego starego obrzydliwego dziada zostawić w pizduWspółczuje jej,,-1
najnowszy najlepszy film ,,-1
Jak widać po latach Kaczyński co do Merkel wcale się nie pomylił,,-1
Jestes  nikim zawsze W pierdla dostaiesz poz a pl,,-1
"Modle sie abyscie ludzie odzyskali glowe i rozwiazali ten wstretny problem pokojowo ale niestety widze ze cala Polska zamienia sie w kraj rasistow i faszystow tych imigrantow rzadania dziecinne  zgadza sie Lepiej aby ich tam nie bylo tez sie zgadza , muslim  bardzo zla religiaitd, itp   Ale to wstyd aby innych nazywac bydlem i jedno drugiego pobudzalo do gwaltu i nagle pieknie mowilo o Hitlerze i Stalinie  Czy juz madrych i tych rozwaznych juz w Polsce nie ma",,-1
Р Шухевич родився 30 червня 1907
Chłopak mimo tego co o nim mówią wygłada na sympatycznego człowiekaGrupa rodziców natomiast jest  jakaś grupa która nad wszystkim rządzi i znęca oraz grozi rodzinie tego chłopca",,-1
Kurwa jakie to marne,,-1
Sexmasterka bije was na głowe ,,-1
ale się ludzie ekscytujecie,,-1
Czy wy sie bawicie w sexmasterke,,-1
Najlepsza 34 sec Cycki,,-1
"Gdyby wbić w te glonojady igłe i je przedziurawić jak balon, nic by z nich nie zostało cały silikon z którego są zrobione by wypłynął D",,-1
Putin
Ktoś zadzwonił do tego Mariusza w sprawie koncertów D,,-1
Tutaj nawet konstruktywnej krytiki nie da się napisać no nie da Inni teraz będą nas z tym kojarzyć jebane glonojady,,-1
"Zgłaszajcie nadużycie  nagość w 034 oraz 257
KOCHAM WAS DZIEWCZYNY ,,-1
Proszę nie aż mi oczy wypaliło a uszy zwiędły,,-1
Do czego świat zmierza,,-1

Pierwszy raz na czas ,,-1
"Włosy matce zajebałeś z głowy  Bedziesz ruchana w dupe dziewczynko, bałaganie jebany",,-1
"Powoli się budzi
"no cóż, kurwa każdy głupi wie, że padaczki się nie da zahamować, jedyne co można zrobić to zabezpieczyć głowę, żeby nie uderzył w nic ale nei ten cwel dociska do ziemi nie wiadomo po co",,-1
"wpisać na YT bandyci z Izraela obrażają Jezusa Chrystusa i zobaczycie jak media żydowskie pokazują w programie dziecięcym ukrzyżowanie Jezusa Chrystusa dziecko przybija do krzyża małpkę i mówi do niej jesteś Jezusie nazistąa potem tłucze te małpkę Jezusa  młotkiem w głowę, aż małpka Jezus umiera w męczarniachkrzycząc w niebo głosy takiego skurwysyństwa nie ma na całej kuli ziemskiej jakie propaguje się w Izraelu,,,to mowa nienawiści , najplugawsza z najplugawszych",,-1
skurwysyna bym podpalil w klatce smierc takim ludziom,,-1
"Zapomniałeś o Sławomir Walecki  Salomon Walstein, agent Mosadu na youtubie",,-1
Co to za śmieszny laluś w tym pedałkowatym sweterku czy jak to nazwaćPodskakuje jak mały ratleremŚmieszny krasnal,,-1
"Pojechał by na weekendowe ćwiczenia Nejmników Macierewicza, to jest duża szansa że karawanem by wracał Po takim np wyciąganiu rannego z pola walki, oczywiście za pomocą czolgania",,-1
JAK JA BYM IM WYJEBAL TAK ŻE CHJ mu SPADŁ A POTEM WZIĄŁ TRAKTOR I GO TAK PRZEWOŹIŁ CWELA JEBANEGO ONI POWINNI DOSTAĆ 5 LAT POZBAWIENIA WOLNOŚCI A NIE 5 LAT ZABRONIENIA TRZYMANIA ZWIERZĄT W DOMACH,,-1
Czy jeśli to że jestem osobą płci męskiej i zakręcila mi się łezka w oku od historii i zdjęć to jestem jakiś dziwny,,-1
"dobrze powiedziałeś pierdlone pjeby 
Biedak zaraz znajdę sprawców i ich zajebie,,-1
Ciesze się że wszystko dobrze z nim ale jeszcze z nlaleść tego gościa i wszadzić go do pudła ale serio cooo się dzieje z tymi ludzmi nosz kurde,,-1
Kurwa co z tym jebanym światem,,-1
KURWAAAA JA PIERDOLE NIECH ZGINĄ TE KURWY,,-1
"12 miesięcy to kpina a nie karaCieszę się, że ten człowiek zareagował i pomógł biedakowi",,-1
"Uchlać, podpalić je, polamac im wszystko i do Aushwitz Ale to i tak za mało  Jeny biedny pieseeek ",,-1
kara nie jest wystarczająca,,-1
debile kto to zrobił nie ma duszy ani ziarnka godności powinni sami sobie tak zrobić,,-1
Powinni dostać dorzywocie,,-1
"Klasycznie, wszystko robią dziewczyny
"Jak można być takim zwyrolem, ja pierdole",,-1
Suki dziwki wzioł bym te suki tych nastolatków powiesił za ręce od tyłu żeby się płakały i pobawiłbym się w żucabie nożami a potem młotkami a potem zapalić ryj tym kurwą,,-1
150k i koniec kropka 100 lat nie mogą  mieć zwierząt i tyle ja im dam,,-1
Kurwa jak to słysze to kurwa napierdalam z nerwów w podłoge bo nie moge wytrzymacDawac kurwa ich adres i zara z ekipą ich kurwa zajebiemy i wjebiemy ich na ognisko kurwa i przywiazemy ich do drzewa i bedziemy napierdalac w nich z wiatrowki  dawaj like jak chcesz,,-1
"Powinno byc zakaz posiadania zwierzat do konca zycia, 24 miesiace prac spolecznych, 20000 zl od kazdego przyjeba i kilka kopow na morde zeby wiedzieli co czul ten pies",,-1
Kolejny raz kurde kiedy to sie skonczy,,-1


to jest kurwa policja i straż miejska jp,,-1
"Ok jadę do Ameryki po broń, trzeba się jakoś bronić",,-1
Jakos brak przekonania w słowach oswiecinskiego Sam w to nie wierzy co mówi Co do psychy to Popek na pewno ma lepszą i to tez widac w tym filmie,,-1
Xd oświęcimski mówi że wszyscy mówią Popkowi ze jest dobry z grona sportowców  a kto jemu powie tak jakiś aktor XD,,-1
"Tam go dojadą
lipa nie slychac strzalow,,-1
Pedofili do kamieniołomów i raz na dzień wodę z chlebem ,,-1
Oho widze że juz prawie 300 pedofili dało łapke w dół ,,-1
Ja chcę nawijać jak ty, przecież sam mówiłeś że kseruję Rycha
Sliwa coraz więcej śubów D,,-1
"Swirki nie mialem zadnej uff, wtedy jeszcze chyba tombik odpowiadal za wysylki, ale na szczescie zaznaczylem platność przy odbiorze xd",,-1
Moim zdaniem największy wygrany tego całego zamieszania,,-1
Jebać tych wiejskich cweli,,-1
Deynn to tępy worek na sperme nie mylić z kobietą,,-1
"Omawianie dramy ludzi których nie znam Polecam film Gonciarza rozstanie odnośnie takich epar Z całego materiału zrozumiałem tylko tyle, że jakaś patologia przygarnęła dziecko i je krzywdzi Takie sytuacje mają miejsce codziennie więc nie widzę powodu dla omawiania akurat tej patologii gwiazd",,-1
Wiecie co wyglądacie jakbyście przeszły operacje zmiany plciBylyscie kiedyś facetami czy co,,-1
no a wy kurwa narzekaliście na seksmasterke a ona o niebo ładniejsza od tych mutantów z czarnobyla,,-1
"Rewelacja, jestem wstrząśnięty ",,-1

"Ja uważam, że nie śpiewają najgorzej ale wiedzą to, że fałszują, a puszczają to do netu  Potem narzekają na hejty, a przecież wiedziały, że takie polecą Na prawdę nie śpiewają najgorzej, ale po co to puszczać do internetu  Nie rozumiem tego Jakby na prawdę miały talent, to rozumiem  Lub jakby były to jakieś challenge ze śpiewaniem",,-1
XDDDDD",,-1
"Aha Najpierw za przeproszeniem NAPIERDA niewinnego człowieka, a potem Jak się czujesz, Zawieź cię do ZOZu
skurwysyny na stos z kurwami,,-1
Jest i kula heh ja pierdole elita,,-1
This is Polish Hip Hop  ,,-1
"Nie wierze, nie wpuścić nikogo",,-1
jesteś bystry jak woda w kiblu,,-1
Lapka w gore kto by go powiesił tego skurwysyna,,-1
oby jednak ktos go znalazł przed policja,,-1
Cuux lepszy on nie jest z plastiku,,-1

Teraz ta koleda bedzie mi sie kojarzyć tylko z Nimi i wyciem ",,-1
"taka ładna piosenka a tak zmasakrowana,dobrze ze kolęd  nie spiewaly",,-1
Ta w  srebrnej sukience psujeee,,-1
I co można wziąć się za łapanie niebezpiecznych osób zamiast wlepiac mandaty za złe parkowanietylko nie może wam się tak długo przy tym schodzić bo jest dużo roboty,,-1
Nie rozumiem takich głupich osób,,-1
"Dzieci bawią sie w gangsterke heh, gdyby sie zainteresował nimi ktoś poważniejszy to by sie obsrały i sie pogodziły _ no cóż będą miały nauczke",,-1
"czy MARIHUANA jest  z Konopi  
hahahahhahahaahhahahaah,,-1
Kazdy len ktoremu nie chce sie co nieco poczytac uwaza ze sa jacys obcy co chca go zniszczyc Tak powstaja teorie spiskowe 

W pogoni za rozumem,,-1
kiedy Ci politycznie poprawni kretyni się obudzą",,-1

"Od 409 aż łzy mi poleciały Wykończyli faceta psychicznie Dlaczego nie nęka się tak prawdziwych złodzieji  bo złodziej ma większe prawa niż szary obywatel Pozdrawiam Panów policjantów, którym na tacy dałem 3 włamywaczy Włamanie do domu okazało się tylko wykroczeniem Wykrywalnośc oczywiście poszła w górę, a i budżet pańśtwa został zasilony 50 złotówkowym mandatem Mówi się, że mamy złe przepisy  chuja prawda  mamy złe myślenie i brak umiejętności podjęcia rozsądnych, męskich decyzji",,-1
"Moje zdanie jest takie, że ci którzy nie dostali się do policji poszli do SM i udają wielkich Rambo, a w rzeczywistości są niedoszkolonymi pseudoochroniarzami Ktoś miał rację mówiąc, że jak szyby w samochodach wybijają to panowie strażnicy uciekają, ale jak babcia handluje pietruszką z koszyczka to są zwarci i gotowi Powinni zlikwidować to g, a pieniądze przeznaczyć na policję",,-1
Jakoś mi ich nie szkoda,,-1
"Najpierw skakał, a potem dostał w dziurę Cwaniak",,-1
po 2 Wy wszyscy chyba zapomnieliscie w jakim My kraju zyjemy to Jest POlska, tym kurwa ujdzie to płazem  nie jeden juz sie tak odgrazal i jak to sie konczylo  naganą, upomnieniem, badz wloczeniem sie po sadach latami z czego pozniej wyrok prawomocny byl taki ze sa zawieszeni w wykonywanym zawodzi  ale takie bylo juz jest  bylo na emeryturze 
Wisła Kraków Hooligan ACAB,,-1
Kogo to obchodzi Chłopaki macie bogaty merytorycznie kanał dotyczący tematu budowania sylwetki etc a teraz wchodzę i widzę takie gowno,,-1
owca meta wpierdala albo teściapuchnie kurwa z ryja wstrętne  zaraz forma będzie testosteron pójdzie i gitara,,-1
Ja chciałbym żeby z tymi nastolatkami zrobili tak samo,,-1
